Data_Cota;Valor_Cota;Nome_Fundo;Gestor
31/01/2020;1,37;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/01/2020;1,28;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
28/02/2020;1,38;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
28/02/2020;1,29;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/03/2020;1,36;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/03/2020;1,27;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/04/2020;1,36;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/04/2020;1,27;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
29/05/2020;1,39;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
29/05/2020;1,29;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/06/2020;1,4;CARDOS FUNDO DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/06/2020;1,31;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/07/2020;1,31;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/08/2020;1,32;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/09/2020;1,32;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/10/2020;1,33;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/11/2020;1,35;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/12/2020;1,38;KINEA IPCA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/06/2021;1,01;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/07/2021;1;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/08/2021;1;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/09/2021;1,03;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
29/10/2021;1,02;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
30/11/2021;1,03;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
31/12/2021;1,04;BRASILPREV KINEA SIGMA PREV FUNDOS DE INVESTIMENTO MULTIMERCADO;KINEA INVESTIMENTOS LTDA.
